granularity,buggedType,version_name,valid,bug
Method,Most,release-0.6.0,219,0
Method,Most,release-0.7.0,306,1
Method,Most,release-0.8.0,767,0
Method,Most,release-1.0.0,1000,0
Method,Most,rel/1.1.0,1000,0
Method,Most,release-1.1.0,1186,4
Method,Most,rel/1.2.0,1190,0
Method,All,release-0.6.0,219,0
Method,All,release-0.7.0,307,0
Method,All,release-0.8.0,767,0
Method,All,release-1.0.0,1000,0
Method,All,rel/1.1.0,1000,0
Method,All,release-1.1.0,1190,0
Method,All,rel/1.2.0,1190,0
File,Most,release-0.6.0,53,0
File,Most,release-0.7.0,79,0
File,Most,release-0.8.0,238,0
File,Most,release-1.0.0,392,0
File,Most,rel/1.1.0,392,0
File,Most,release-1.1.0,414,0
File,Most,rel/1.2.0,415,0
File,All,release-0.6.0,53,0
File,All,release-0.7.0,79,0
File,All,release-0.8.0,238,0
File,All,release-1.0.0,392,0
File,All,rel/1.1.0,392,0
File,All,release-1.1.0,414,0
File,All,rel/1.2.0,415,0
